iri	status	name	description	code	scheme
:LE_5075	im:CM_ActiveStatus	Outpatient Paed Resp Allergy F/Up Register a patient		LE_5075	:TermBasedCode
:LE_5076	im:CM_ActiveStatus	Outpatient Paed Resp Allergy New Update patient information		LE_5076	:TermBasedCode
:LE_5077	im:CM_ActiveStatus	Outpatient Pre-Registration Colorectal Results Review F/Up (outpatient)		LE_5077	:TermBasedCode
:LE_5078	im:CM_ActiveStatus	Outpatient pre-registration Merge patient information - account number only (inpatient)		LE_5078	:TermBasedCode
:LE_5079	im:CM_ActiveStatus	Outpatient Pre-Registration Ophthalmology Casualty Referral F/Up (other)		LE_5079	:TermBasedCode
:LE_508	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. BROAD STREET MEDICAL CENTRE. Contact method: Scanned document		LE_508	:TermBasedCode
:LE_5080	im:CM_ActiveStatus	Outpatient Referral (outpatient)		LE_5080	:TermBasedCode
:LE_5081	im:CM_ActiveStatus	Outpatient Referral Breast F/Up (outpatient)		LE_5081	:TermBasedCode
:LE_5082	im:CM_ActiveStatus	Outpatient Referral Breast New (outpatient)		LE_5082	:TermBasedCode
:LE_5083	im:CM_ActiveStatus	Outpatient Referral Cancel discharge/end visit (other)		LE_5083	:TermBasedCode
:LE_5084	im:CM_ActiveStatus	Outpatient Referral Cancel discharge/end visit (outpatient)		LE_5084	:TermBasedCode
:LE_5085	im:CM_ActiveStatus	Outpatient Referral Cancel discharge/end visit (waitinglist)		LE_5085	:TermBasedCode
:LE_5086	im:CM_ActiveStatus	Outpatient Referral Cardiology 24hr Tape F/Up (outpatient)		LE_5086	:TermBasedCode
:LE_5087	im:CM_ActiveStatus	Outpatient Referral Cardiology 24hr Tape New (outpatient)		LE_5087	:TermBasedCode
:LE_5088	im:CM_ActiveStatus	Outpatient Referral Cardiology Cardiomyopathy F/Up (outpatient)		LE_5088	:TermBasedCode
:LE_5089	im:CM_ActiveStatus	Outpatient Referral Cardiology Cardiomyopathy New (outpatient)		LE_5089	:TermBasedCode
:LE_509	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. BROOKFIELD PARK SURGERY. Contact method: Scanned document		LE_509	:TermBasedCode
:LE_5090	im:CM_ActiveStatus	Outpatient Referral Cardiology ECHO F/Up (outpatient)		LE_5090	:TermBasedCode
:LE_5091	im:CM_ActiveStatus	Outpatient Referral Cardiology GUCH New (outpatient)		LE_5091	:TermBasedCode
:LE_5092	im:CM_ActiveStatus	Outpatient Referral Cardiology Heart Failure New (outpatient)		LE_5092	:TermBasedCode
:LE_5093	im:CM_ActiveStatus	Outpatient Referral Cardiology New (outpatient)		LE_5093	:TermBasedCode
:LE_5094	im:CM_ActiveStatus	Outpatient Referral Change an inpatient to an outpatient (other)		LE_5094	:TermBasedCode
:LE_5095	im:CM_ActiveStatus	Outpatient Referral Change an inpatient to an outpatient (outpatient)		LE_5095	:TermBasedCode
:LE_5096	im:CM_ActiveStatus	Outpatient Referral Delete a patient record (waitinglist)		LE_5096	:TermBasedCode
:LE_5097	im:CM_ActiveStatus	Outpatient Referral Dermatology New (outpatient)		LE_5097	:TermBasedCode
:LE_5098	im:CM_ActiveStatus	Outpatient Referral Dietetic New (outpatient)		LE_5098	:TermBasedCode
:LE_5099	im:CM_ActiveStatus	Outpatient Referral Discharge/end visit (inpatient)		LE_5099	:TermBasedCode
:LE_51	im:CM_ActiveStatus	Clinic		LE_51	:TermBasedCode
:LE_510	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Brunner Road Medical Centre. Contact method: Inbound Document		LE_510	:TermBasedCode
:LE_5100	im:CM_ActiveStatus	Outpatient Referral Discharge/end visit (other)		LE_5100	:TermBasedCode
:LE_5101	im:CM_ActiveStatus	Outpatient Referral Discharge/end visit (outpatient)		LE_5101	:TermBasedCode
:LE_5102	im:CM_ActiveStatus	Outpatient Referral Discharge/end visit (recurring)		LE_5102	:TermBasedCode
:LE_5103	im:CM_ActiveStatus	Outpatient Referral Gastroenterology BCS New (outpatient)		LE_5103	:TermBasedCode
:LE_5104	im:CM_ActiveStatus	Outpatient Referral Gastroenterology New (outpatient)		LE_5104	:TermBasedCode
:LE_5105	im:CM_ActiveStatus	Outpatient Referral Gynae Hysteroscopy New (outpatient)		LE_5105	:TermBasedCode
:LE_5106	im:CM_ActiveStatus	Outpatient Referral Gynae New (outpatient)		LE_5106	:TermBasedCode
:LE_5107	im:CM_ActiveStatus	Outpatient referral Merge patient information - account number only (waitinglist)		LE_5107	:TermBasedCode
:LE_5108	im:CM_ActiveStatus	Outpatient Referral MSK OT Hand New (outpatient)		LE_5108	:TermBasedCode
:LE_5109	im:CM_ActiveStatus	Outpatient Referral MSK OT Hand Trauma New (outpatient)		LE_5109	:TermBasedCode
:LE_511	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Brunner Road Medical Centre. Contact method: Scanned document		LE_511	:TermBasedCode
:LE_5110	im:CM_ActiveStatus	Outpatient Referral MSK PT Assess New (outpatient)		LE_5110	:TermBasedCode
:LE_5111	im:CM_ActiveStatus	Outpatient Referral MSK PT Neurol New (outpatient)		LE_5111	:TermBasedCode
:LE_5112	im:CM_ActiveStatus	Outpatient Referral MSK PT New (outpatient)		LE_5112	:TermBasedCode
:LE_5113	im:CM_ActiveStatus	Outpatient Referral Ophthalmology Diabetes New (outpatient)		LE_5113	:TermBasedCode
:LE_5114	im:CM_ActiveStatus	Outpatient Referral Ophthalmology Emergency F/Up (outpatient)		LE_5114	:TermBasedCode
:LE_5115	im:CM_ActiveStatus	Outpatient Referral Ophthalmology Emergency New (outpatient)		LE_5115	:TermBasedCode
:LE_5116	im:CM_ActiveStatus	Outpatient Referral Ophthalmology New (outpatient)		LE_5116	:TermBasedCode
:LE_5117	im:CM_ActiveStatus	Outpatient Referral Orthodontics New (outpatient)		LE_5117	:TermBasedCode
:LE_5118	im:CM_ActiveStatus	Outpatient Referral Orthopaedic Foot and Ankle New (outpatient)		LE_5118	:TermBasedCode
:LE_5119	im:CM_ActiveStatus	Outpatient Referral Orthopaedic Fracture New (outpatient)		LE_5119	:TermBasedCode
:LE_512	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Cable Street Surgery. Contact method: Scanned document		LE_512	:TermBasedCode
:LE_5120	im:CM_ActiveStatus	Outpatient Referral Orthopaedic Hip and Knee New (outpatient)		LE_5120	:TermBasedCode
:LE_5121	im:CM_ActiveStatus	Outpatient Referral Orthopaedic Paediatric New (outpatient)		LE_5121	:TermBasedCode
:LE_5122	im:CM_ActiveStatus	Outpatient Referral Orthopaedic Spinal New (outpatient)		LE_5122	:TermBasedCode
:LE_5123	im:CM_ActiveStatus	Outpatient Referral Orthoptic Paed Chalazion New (outpatient)		LE_5123	:TermBasedCode
:LE_5124	im:CM_ActiveStatus	Outpatient Referral Orthoptic Paediatric New (outpatient)		LE_5124	:TermBasedCode
:LE_5125	im:CM_ActiveStatus	Outpatient Referral PAC F/Up (outpatient)		LE_5125	:TermBasedCode
:LE_5126	im:CM_ActiveStatus	Outpatient Referral Paediatric Audiological Medicine New (outpatient)		LE_5126	:TermBasedCode
:LE_5127	im:CM_ActiveStatus	Outpatient Referral Paediatric Dentistry New (outpatient)		LE_5127	:TermBasedCode
:LE_5128	im:CM_ActiveStatus	Outpatient Referral Paediatric Dermatology New (outpatient)		LE_5128	:TermBasedCode
:LE_5129	im:CM_ActiveStatus	Outpatient Referral Paediatric ENT New (outpatient)		LE_5129	:TermBasedCode
:LE_513	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Carpenters Practice. Contact method: Scanned document		LE_513	:TermBasedCode
:LE_5130	im:CM_ActiveStatus	Outpatient Referral Paediatrics Baby New (outpatient)		LE_5130	:TermBasedCode
:LE_5131	im:CM_ActiveStatus	Outpatient Referral Paediatrics Neonatal New (outpatient)		LE_5131	:TermBasedCode
:LE_5132	im:CM_ActiveStatus	Outpatient Referral Paediatrics New (outpatient)		LE_5132	:TermBasedCode
:LE_5133	im:CM_ActiveStatus	Outpatient Referral Plastic New (outpatient)		LE_5133	:TermBasedCode
:LE_5134	im:CM_ActiveStatus	Outpatient Referral Pre-admit a patient (waitinglist)		LE_5134	:TermBasedCode
:LE_5135	im:CM_ActiveStatus	Outpatient Referral Psychotherapy Adult New (outpatient)		LE_5135	:TermBasedCode
:LE_5136	im:CM_ActiveStatus	Outpatient Referral Register a patient (outpatient)		LE_5136	:TermBasedCode
:LE_5137	im:CM_ActiveStatus	Outpatient Referral Register a patient (recurring)		LE_5137	:TermBasedCode
:LE_5138	im:CM_ActiveStatus	Outpatient Referral Resp Asthma New (outpatient)		LE_5138	:TermBasedCode
:LE_5139	im:CM_ActiveStatus	Outpatient Referral Resp F/Up (outpatient)		LE_5139	:TermBasedCode
:LE_514	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Centre Manor Park. Contact method: Scanned document		LE_514	:TermBasedCode
:LE_5140	im:CM_ActiveStatus	Outpatient Referral Resp Lung Function F/Up (outpatient)		LE_5140	:TermBasedCode
:LE_5141	im:CM_ActiveStatus	Outpatient Referral Resp New (outpatient)		LE_5141	:TermBasedCode
:LE_5142	im:CM_ActiveStatus	Outpatient Referral Update patient information (inpatient)		LE_5142	:TermBasedCode
:LE_5143	im:CM_ActiveStatus	Outpatient Referral Update patient information (other)		LE_5143	:TermBasedCode
:LE_5144	im:CM_ActiveStatus	Outpatient Referral Update patient information (outpatient)		LE_5144	:TermBasedCode
:LE_5145	im:CM_ActiveStatus	Outpatient Referral Urology F/Up (outpatient)		LE_5145	:TermBasedCode
:LE_5146	im:CM_ActiveStatus	Outpatient Referral Urology Haematuria New (outpatient)		LE_5146	:TermBasedCode
:LE_5147	im:CM_ActiveStatus	Outpatient Referral Urology New (outpatient)		LE_5147	:TermBasedCode
:LE_5148	im:CM_ActiveStatus	Outpatient Referral Vascular F/Up (outpatient)		LE_5148	:TermBasedCode
:LE_5149	im:CM_ActiveStatus	Outpatient Referral Vascular Varicose Veins New (outpatient)		LE_5149	:TermBasedCode
:LE_515	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Child  Family Health Centre. Contact method: Scanned document		LE_515	:TermBasedCode
:LE_5150	im:CM_ActiveStatus	Outpatient Register a patient (other)		LE_5150	:TermBasedCode
:LE_5151	im:CM_ActiveStatus	Outpatient Register a patient (waitinglist)		LE_5151	:TermBasedCode
:LE_5152	im:CM_ActiveStatus	Outpatient Update patient information (inpatient)		LE_5152	:TermBasedCode
:LE_5153	im:CM_ActiveStatus	Outpatient Update patient information (recurring)		LE_5153	:TermBasedCode
:LE_5154	im:CM_ActiveStatus	Outpatient Update patient information (waitinglist)		LE_5154	:TermBasedCode
:LE_5155	im:CM_ActiveStatus	Outpatient Urology Results Review F/Up		LE_5155	:TermBasedCode
:LE_5156	im:CM_ActiveStatus	Path Lab Result		LE_5156	:TermBasedCode
:LE_5157	im:CM_ActiveStatus	Path Lab Results		LE_5157	:TermBasedCode
:LE_5158	im:CM_ActiveStatus	Pathology Result Received		LE_5158	:TermBasedCode
:LE_5159	im:CM_ActiveStatus	Patient admin. data NOS		LE_5159	:TermBasedCode
:LE_516	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Chrisp Street Health Centre. Contact method: Scanned document		LE_516	:TermBasedCode
:LE_5160	im:CM_ActiveStatus	Patient Administration		LE_5160	:TermBasedCode
:LE_5161	im:CM_ActiveStatus	Patient encounter admin. data		LE_5161	:TermBasedCode
:LE_5162	im:CM_ActiveStatus	Patient encounter data NOS		LE_5162	:TermBasedCode
:LE_5163	im:CM_ActiveStatus	Patient Encounter/admin Data		LE_5163	:TermBasedCode
:LE_5164	im:CM_ActiveStatus	Patient Information		LE_5164	:TermBasedCode
:LE_5165	im:CM_ActiveStatus	Patient Misc. Admin Data		LE_5165	:TermBasedCode
:LE_5166	im:CM_ActiveStatus	Patient note :		LE_5166	:TermBasedCode
:LE_5167	im:CM_ActiveStatus	Patient Registered		LE_5167	:TermBasedCode
:LE_5168	im:CM_ActiveStatus	Phlebotomy Requests		LE_5168	:TermBasedCode
:LE_5169	im:CM_ActiveStatus	Physiotherapy referral		LE_5169	:TermBasedCode
:LE_517	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Claremont Medical Centre. Contact method: Inbound Document		LE_517	:TermBasedCode
:LE_5170	im:CM_ActiveStatus	Please Note		LE_5170	:TermBasedCode
:LE_5171	im:CM_ActiveStatus	Practice Administration		LE_5171	:TermBasedCode
:LE_5172	im:CM_ActiveStatus	Practice Note		LE_5172	:TermBasedCode
:LE_5173	im:CM_ActiveStatus	Prescription Administration		LE_5173	:TermBasedCode
:LE_5174	im:CM_ActiveStatus	PRESCRIPTION REQUEST		LE_5174	:TermBasedCode
:LE_5175	im:CM_ActiveStatus	Prescription Request Query		LE_5175	:TermBasedCode
:LE_5176	im:CM_ActiveStatus	Prescription Request Received		LE_5176	:TermBasedCode
:LE_5177	im:CM_ActiveStatus	Prescription Request.		LE_5177	:TermBasedCode
:LE_5178	im:CM_ActiveStatus	Prescriptions		LE_5178	:TermBasedCode
:LE_5179	im:CM_ActiveStatus	Private Referral		LE_5179	:TermBasedCode
:LE_518	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Claremont Medical Centre. Contact method: Scanned document		LE_518	:TermBasedCode
:LE_5180	im:CM_ActiveStatus	private referral 2 week wait (Msg #29007)		LE_5180	:TermBasedCode
:LE_5181	im:CM_ActiveStatus	PRIVATE REFERRAL-RHEUMATOLOGY		LE_5181	:TermBasedCode
:LE_5182	im:CM_ActiveStatus	Professional Information Sharing		LE_5182	:TermBasedCode
:LE_5183	im:CM_ActiveStatus	Query/request		LE_5183	:TermBasedCode
:LE_5184	im:CM_ActiveStatus	Radiology Referral Wait List Change an inpatient to an outpatient (outpatient)		LE_5184	:TermBasedCode
:LE_5185	im:CM_ActiveStatus	Radiology Referral Wait List Delete a patient record (waitinglist)		LE_5185	:TermBasedCode
:LE_5186	im:CM_ActiveStatus	Radiology Referral Wait List Discharge/end visit (waitinglist)		LE_5186	:TermBasedCode
:LE_5187	im:CM_ActiveStatus	Radiology Referral Wait List Pre-admit a patient (other)		LE_5187	:TermBasedCode
:LE_5188	im:CM_ActiveStatus	Radiology Referral Wait List Update patient information (other)		LE_5188	:TermBasedCode
:LE_5189	im:CM_ActiveStatus	Radiology Referral Wait List Update patient information (waitinglist)		LE_5189	:TermBasedCode
:LE_519	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. CLAYHALL CLINIC. Contact method: Scanned document		LE_519	:TermBasedCode
:LE_5190	im:CM_ActiveStatus	Radiology Update patient information (outpatient)		LE_5190	:TermBasedCode
:LE_5191	im:CM_ActiveStatus	re test results (Msg #2767)		LE_5191	:TermBasedCode
:LE_5192	im:CM_ActiveStatus	Re-Entered Prescriptions		LE_5192	:TermBasedCode
:LE_5193	im:CM_ActiveStatus	Re: blood results on screen not viewed patient requesting (Msg #674741)		LE_5193	:TermBasedCode
:LE_5194	im:CM_ActiveStatus	Re: can you call patient re. his semen result (Msg #39942)		LE_5194	:TermBasedCode
:LE_5195	im:CM_ActiveStatus	Re: please call whit for results (Msg #52302)		LE_5195	:TermBasedCode
:LE_5196	im:CM_ActiveStatus	Re: please call whit for results (Msg #52439)		LE_5196	:TermBasedCode
:LE_5197	im:CM_ActiveStatus	Re: re dermatology referral (Msg #25144)		LE_5197	:TermBasedCode
:LE_5198	im:CM_ActiveStatus	Reauthorisation of Medication		LE_5198	:TermBasedCode
:LE_5199	im:CM_ActiveStatus	Reception		LE_5199	:TermBasedCode
:LE_52	im:CM_ActiveStatus	Inpatient Discharge/end visit		LE_52	:TermBasedCode
:LE_520	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. CRAWLEY ROAD MEDICAL CENTRE. Contact method: Inbound Document		LE_520	:TermBasedCode
:LE_5200	im:CM_ActiveStatus	Reception Admin		LE_5200	:TermBasedCode
:LE_5201	im:CM_ActiveStatus	Reception Administration		LE_5201	:TermBasedCode
:LE_5202	im:CM_ActiveStatus	Reception Contact		LE_5202	:TermBasedCode
:LE_5203	im:CM_ActiveStatus	Reception-Admin		LE_5203	:TermBasedCode
:LE_5204	im:CM_ActiveStatus	Receptionist		LE_5204	:TermBasedCode
:LE_5205	im:CM_ActiveStatus	Record Administration		LE_5205	:TermBasedCode
:LE_5206	im:CM_ActiveStatus	Record Keeping / Administration		LE_5206	:TermBasedCode
:LE_5207	im:CM_ActiveStatus	Referral		LE_5207	:TermBasedCode
:LE_5208	im:CM_ActiveStatus	Referral Entry		LE_5208	:TermBasedCode
:LE_5209	im:CM_ActiveStatus	Referral Ex Kgp		LE_5209	:TermBasedCode
:LE_521	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. CUSTOM HOUSE SURGERY. Contact method: Inbound Document		LE_521	:TermBasedCode
:LE_5210	im:CM_ActiveStatus	Referral Form, Rivermead Gate Medical Centre		LE_5210	:TermBasedCode
:LE_5211	im:CM_ActiveStatus	Referral Meeting		LE_5211	:TermBasedCode
:LE_5212	im:CM_ActiveStatus	referral NB		LE_5212	:TermBasedCode
:LE_5213	im:CM_ActiveStatus	Referral Sent		LE_5213	:TermBasedCode
:LE_5214	im:CM_ActiveStatus	Referral Update to GP via Email		LE_5214	:TermBasedCode
:LE_5215	im:CM_ActiveStatus	Referral Update to GP via Task		LE_5215	:TermBasedCode
:LE_5216	im:CM_ActiveStatus	Referrals in		LE_5216	:TermBasedCode
:LE_5217	im:CM_ActiveStatus	Regular day admission Merge patient information - account number only (recurring)		LE_5217	:TermBasedCode
:LE_5218	im:CM_ActiveStatus	Regular day admission Register a patient (recurring)		LE_5218	:TermBasedCode
:LE_5219	im:CM_ActiveStatus	Regular day admission Update patient information (inpatient)		LE_5219	:TermBasedCode
:LE_522	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. DMC Vicarage Lane. Contact method: Scanned document		LE_522	:TermBasedCode
:LE_5220	im:CM_ActiveStatus	Regular day admission Update patient information (waitinglist)		LE_5220	:TermBasedCode
:LE_5221	im:CM_ActiveStatus	Regular night admission Update patient information (recurring)		LE_5221	:TermBasedCode
:LE_5222	im:CM_ActiveStatus	Reminder Note Added To Record		LE_5222	:TermBasedCode
:LE_5223	im:CM_ActiveStatus	Repeat issue note		LE_5223	:TermBasedCode
:LE_5224	im:CM_ActiveStatus	Repeat Prescribing Query		LE_5224	:TermBasedCode
:LE_5225	im:CM_ActiveStatus	Repeat prescription		LE_5225	:TermBasedCode
:LE_5226	im:CM_ActiveStatus	Request From Patient		LE_5226	:TermBasedCode
:LE_5227	im:CM_ActiveStatus	Request Received		LE_5227	:TermBasedCode
:LE_5228	im:CM_ActiveStatus	Requesting amitriptyline rx - cancelled her appt (Msg #33509)		LE_5228	:TermBasedCode
:LE_5229	im:CM_ActiveStatus	Result (Not-Linked)		LE_5229	:TermBasedCode
:LE_523	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Downham Surgery. Contact method: Scanned document		LE_523	:TermBasedCode
:LE_5230	im:CM_ActiveStatus	Result Entry		LE_5230	:TermBasedCode
:LE_5231	im:CM_ActiveStatus	Result From Hospital		LE_5231	:TermBasedCode
:LE_5232	im:CM_ActiveStatus	Result Received		LE_5232	:TermBasedCode
:LE_5233	im:CM_ActiveStatus	Result Review		LE_5233	:TermBasedCode
:LE_5234	im:CM_ActiveStatus	Results  Received / Entered		LE_5234	:TermBasedCode
:LE_5235	im:CM_ActiveStatus	Results Admin.		LE_5235	:TermBasedCode
:LE_5236	im:CM_ActiveStatus	Results Externally Entered		LE_5236	:TermBasedCode
:LE_5237	im:CM_ActiveStatus	Results From Hospital		LE_5237	:TermBasedCode
:LE_5238	im:CM_ActiveStatus	Results Of Tests (Sent Electronically)		LE_5238	:TermBasedCode
:LE_5239	im:CM_ActiveStatus	Results please (Msg #201938)		LE_5239	:TermBasedCode
:LE_524	im:CM_ActiveStatus	gp2gp import, healthcare related organisation. dr bk batras practice. contact method: scanned document		LE_524	:TermBasedCode
:LE_5240	im:CM_ActiveStatus	Results Received		LE_5240	:TermBasedCode
:LE_5241	im:CM_ActiveStatus	Results Service		LE_5241	:TermBasedCode
:LE_5242	im:CM_ActiveStatus	Review Of Notes		LE_5242	:TermBasedCode
:LE_5243	im:CM_ActiveStatus	rreferral		LE_5243	:TermBasedCode
:LE_5244	im:CM_ActiveStatus	rx request , Kettering General		LE_5244	:TermBasedCode
:LE_5245	im:CM_ActiveStatus	Salisbury District Hospital -Test Results		LE_5245	:TermBasedCode
:LE_5246	im:CM_ActiveStatus	sample processed in patients absence		LE_5246	:TermBasedCode
:LE_5247	im:CM_ActiveStatus	School, Entered 15/10/13		LE_5247	:TermBasedCode
:LE_5248	im:CM_ActiveStatus	School, Results entered 12/07/2011.		LE_5248	:TermBasedCode
:LE_5249	im:CM_ActiveStatus	Script Request		LE_5249	:TermBasedCode
:LE_525	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. DR DHITAL PRACTICE. Contact method: Scanned document		LE_525	:TermBasedCode
:LE_5250	im:CM_ActiveStatus	Script Request Via Staff		LE_5250	:TermBasedCode
:LE_5251	im:CM_ActiveStatus	Secretarial /administration		LE_5251	:TermBasedCode
:LE_5252	im:CM_ActiveStatus	Secretary		LE_5252	:TermBasedCode
:LE_5253	im:CM_ActiveStatus	Secretary Entered		LE_5253	:TermBasedCode
:LE_5254	im:CM_ActiveStatus	Seen As A Temporary Patient Elsewhere		LE_5254	:TermBasedCode
:LE_5255	im:CM_ActiveStatus	Self-Referral		LE_5255	:TermBasedCode
:LE_5256	im:CM_ActiveStatus	Shawbirch Admin		LE_5256	:TermBasedCode
:LE_5257	im:CM_ActiveStatus	Sick Note Request		LE_5257	:TermBasedCode
:LE_5258	im:CM_ActiveStatus	Smear Result		LE_5258	:TermBasedCode
:LE_5259	im:CM_ActiveStatus	Smear Result Entered		LE_5259	:TermBasedCode
:LE_526	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. DR R SAMUEL  PARTNER. Contact method: Scanned document		LE_526	:TermBasedCode
:LE_5260	im:CM_ActiveStatus	SPC Administration		LE_5260	:TermBasedCode
:LE_5261	im:CM_ActiveStatus	SPECIAL CARE BABY, Hospital, Baby BCG Results at BRI		LE_5261	:TermBasedCode
:LE_5262	im:CM_ActiveStatus	Surg/book		LE_5262	:TermBasedCode
:LE_5263	im:CM_ActiveStatus	Surgery Administration		LE_5263	:TermBasedCode
:LE_5264	im:CM_ActiveStatus	Surgery, Administration		LE_5264	:TermBasedCode
:LE_5265	im:CM_ActiveStatus	Surgery, Administration note		LE_5265	:TermBasedCode
:LE_5266	im:CM_ActiveStatus	Surgery, Externally Entered		LE_5266	:TermBasedCode
:LE_5267	im:CM_ActiveStatus	Surgery, Information (no patient contact)		LE_5267	:TermBasedCode
:LE_5268	im:CM_ActiveStatus	Surgery, Non-consultation data		LE_5268	:TermBasedCode
:LE_5269	im:CM_ActiveStatus	Surgery, Place Not Specified		LE_5269	:TermBasedCode
:LE_527	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Dr Shantir Practice. Contact method: Inbound Document		LE_527	:TermBasedCode
:LE_5270	im:CM_ActiveStatus	SystmOne Task		LE_5270	:TermBasedCode
:LE_5271	im:CM_ActiveStatus	Target Referral		LE_5271	:TermBasedCode
:LE_5272	im:CM_ActiveStatus	Task		LE_5272	:TermBasedCode
:LE_5273	im:CM_ActiveStatus	Telephone, Administration		LE_5273	:TermBasedCode
:LE_5274	im:CM_ActiveStatus	Telephone, Information (No patient contact)		LE_5274	:TermBasedCode
:LE_5275	im:CM_ActiveStatus	Telephone, Non-consultation data		LE_5275	:TermBasedCode
:LE_5276	im:CM_ActiveStatus	Telephone, Non-consultation medication data		LE_5276	:TermBasedCode
:LE_5277	im:CM_ActiveStatus	Temporary Resident - Elsewhere		LE_5277	:TermBasedCode
:LE_5278	im:CM_ActiveStatus	Tertiary Referral		LE_5278	:TermBasedCode
:LE_5279	im:CM_ActiveStatus	Test Request		LE_5279	:TermBasedCode
:LE_528	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Dr Shantir Practice. Contact method: Scanned document		LE_528	:TermBasedCode
:LE_5280	im:CM_ActiveStatus	Test Result		LE_5280	:TermBasedCode
:LE_5281	im:CM_ActiveStatus	Test Results		LE_5281	:TermBasedCode
:LE_5282	im:CM_ActiveStatus	Text		LE_5282	:TermBasedCode
:LE_5283	im:CM_ActiveStatus	Thoughts		LE_5283	:TermBasedCode
:LE_5284	im:CM_ActiveStatus	Ultrasound Result		LE_5284	:TermBasedCode
:LE_5285	im:CM_ActiveStatus	unregistered walk ins, surgery		LE_5285	:TermBasedCode
:LE_5286	im:CM_ActiveStatus	Urine Result (Msg #36747)		LE_5286	:TermBasedCode
:LE_5287	im:CM_ActiveStatus	While Doing Prescription Request		LE_5287	:TermBasedCode
:LE_5288	im:CM_ActiveStatus	While Reviewing Patient Records		LE_5288	:TermBasedCode
:LE_5289	im:CM_ActiveStatus	Woodside Admin		LE_5289	:TermBasedCode
:LE_529	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Dr Singh Surgery. Contact method: Scanned document		LE_529	:TermBasedCode
:LE_5290	im:CM_ActiveStatus	X-Ray Result		LE_5290	:TermBasedCode
:LE_5291	im:CM_ActiveStatus	Telephone, Wood Street Health Centre		LE_5291	:TermBasedCode
:LE_5292	im:CM_ActiveStatus	The Royal London Hospital		LE_5292	:TermBasedCode
:LE_5293	im:CM_ActiveStatus	Out of Hours Centre		LE_5293	:TermBasedCode
:LE_5294	im:CM_ActiveStatus	Moorfields Eye Hospital		LE_5294	:TermBasedCode
:LE_5295	im:CM_ActiveStatus	Hospital Outpatient Consultation		LE_5295	:TermBasedCode
:LE_5296	im:CM_ActiveStatus	Outpatient		LE_5296	:TermBasedCode
:LE_5297	im:CM_ActiveStatus	Weight Management		LE_5297	:TermBasedCode
:LE_5298	im:CM_ActiveStatus	Outpatient Cancel discharge/end visit		LE_5298	:TermBasedCode
:LE_5299	im:CM_ActiveStatus	Outpatient Trust 3		LE_5299	:TermBasedCode
:LE_53	im:CM_ActiveStatus	Inbound Referral		LE_53	:TermBasedCode
:LE_530	im:CM_ActiveStatus	gp2gp import, healthcare related organisation. dr. mastertons surgery. contact method: scanned document		LE_530	:TermBasedCode
:LE_5300	im:CM_ActiveStatus	Nurse Triage		LE_5300	:TermBasedCode
:LE_5301	im:CM_ActiveStatus	Casualty Attendance		LE_5301	:TermBasedCode
:LE_5302	im:CM_ActiveStatus	Out of Hours		LE_5302	:TermBasedCode
:LE_5303	im:CM_ActiveStatus	The Doc Tel		LE_5303	:TermBasedCode
:LE_5304	im:CM_ActiveStatus	Office Base.		LE_5304	:TermBasedCode
:LE_5305	im:CM_ActiveStatus	Telephone/ Nurse Triage		LE_5305	:TermBasedCode
:LE_5306	im:CM_ActiveStatus	The Doc Phhc		LE_5306	:TermBasedCode
:LE_5307	im:CM_ActiveStatus	Hadoc		LE_5307	:TermBasedCode
:LE_5308	im:CM_ActiveStatus	Telephone Appointment		LE_5308	:TermBasedCode
:LE_5309	im:CM_ActiveStatus	AE, Information (no patient contact)		LE_5309	:TermBasedCode
:LE_531	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. E12 HEALTH. Contact method: Scanned document		LE_531	:TermBasedCode
:LE_5310	im:CM_ActiveStatus	Acute visit		LE_5310	:TermBasedCode
:LE_5311	im:CM_ActiveStatus	Inpatient Discharge/end visit (emergency)		LE_5311	:TermBasedCode
:LE_5312	im:CM_ActiveStatus	Co-Op Attendance		LE_5312	:TermBasedCode
:LE_5313	im:CM_ActiveStatus	Hospital, Hospital Outpatient		LE_5313	:TermBasedCode
